Name,Ticker,Traded_Date,TradeMonth,Transaction,trade_price,future_price_1m,ret_1m,future_price_3m,ret_3m,future_price_6m,ret_6m,future_price_9m,ret_9m,future_price_11m,ret_11m,future_price_24m,ret_24m,direct_legislative_connection
Suzan K. Delbene,MSFT,2020-09-30,2020-09,Purchase,16.333080291748047,16.527812957763672,0.011922592832290775,14.75522804260254,-0.09660469556025408,11.895013809204102,-0.27172256569302405,,,,,,,True
Thomas Suozzi,JPM,2020-03-20,2020-03,Purchase,,,,,,,,,,,,,,True
"Wyden, Ron",AAPL,2020-08-07,2020-08,Purchase,,,,,,,,,,,,,,True
"Wyden, Ron",UPS,2020-08-19,2020-08,Purchase,180.74107360839844,174.64492797851562,-0.03372861247405772,172.27122497558594,-0.04686178113096554,174.95388793945312,-0.03201920600230628,,,,,,,True
"Wyden, Ron",NFLX,2020-08-20,2020-08,Purchase,31.30667495727539,30.256669998168945,-0.033539331805099076,25.418760299682617,-0.18807218159156422,26.596294403076172,-0.1504593049446335,,,,,,,True
"Wyden, Ron",SQ,2020-08-24,2020-08,Purchase,171.82000732421875,158.0,-0.08043305048952097,145.85000610351562,-0.15114654937535058,273.48284912109375,0.5916822108210049,,,,,,,True
"Wyden, Ron",UPS,2020-08-25,2020-08,Purchase,180.74107360839844,174.64492797851562,-0.03372861247405772,172.27122497558594,-0.04686178113096554,174.95388793945312,-0.03201920600230628,,,,,,,True
"Wyden, Ron",AAPL,2020-08-27,2020-08,Purchase,,,,,,,,,,,,,,True
"Wyden, Ron",AMZN,2020-09-01,2020-09,Purchase,,,,,,,,,,,,,,True
"Wyden, Ron",AAPL,2020-09-02,2020-09,Purchase,,,,,,,,,,,,,,True
Zoe Lofgren,TMUS,2020-02-18,2020-02,Purchase,,,,,,,,,,,,,,True
Zoe Lofgren,CSCO,2020-06-16,2020-06,Purchase,21.450000762939453,21.40999984741211,-0.001864844480400015,22.38999938964844,0.04382277824125228,,,,,,,,,True
Zoe Lofgren,QCOM,2020-06-16,2020-06,Purchase,187.617431640625,200.4709930419922,0.06850941988155855,146.57005310058594,-0.21878232838547731,,,,,,,,,True
